Participante,Jogo,Gols_Casa_Palpite,Gols_Fora_Palpite
Léo,Panamá x Croácia,1,2
Léo,Croácia x Gana,2,1
Léo,Panamá x Inglaterra,0,3

Tel,República Tcheca x África do Sul,1,0
Tel,México x Coreia do Sul,1,2
Tel,República Tcheca x México,0,1
Tel,África do Sul x Coreia do Sul,0,1
Tel,Suíça x Bósnia e Herzegovina,1,0
Tel,Canadá x Catar,1,0
Tel,Suíça x Canadá,1,0
Tel,Bósnia e Herzegovina x Catar,2,0
Tel,Escócia x Marrocos,0,2
Tel,Brasil x Haiti,3,0
Tel,Escócia x Brasil,0,2
Tel,Marrocos x Haiti,2,0
Tel,Turquia x Paraguai,1,0
Tel,Estados Unidos x Austrália,2,0
Tel,Turquia x Estados Unidos,0,1
Tel,Paraguai x Austrália,1,0
Tel,Alemanha x Costa do Marfim,3,1
Tel,Equador x Curaçao,2,0
Tel,Equador x Alemanha,0,2
Tel,Curaçao x Costa do Marfim,0,2
Tel,Tunísia x Japão,0,3
Tel,Holanda x Suécia,1,1
Tel,Japão x Suécia,1,2
Tel,Tunísia x Holanda,0,2
Tel,Bélgica x Irã,2,0
Tel,Nova Zelândia x Egito,0,2
Tel,Egito x Irã,2,0
Tel,Nova Zelândia x Bélgica,0,2
Tel,Espanha x Arábia Saudita,2,0
Tel,Uruguai x Cabo Verde,2,0
Tel,Cabo Verde x Arábia Saudita,0,1
Tel,Uruguai x Espanha,1,2
Tel,França x Senegal,4,0
Tel,Iraque x Noruega,0,2
Tel,França x Iraque,3,0
Tel,Noruega x Senegal,1,1
Tel,Noruega x França,0,2
Tel,Senegal x Iraque,2,0
Tel,Áustria x Jordânia,1,0
Tel,Argentina x Argélia,3,0
Tel,Argentina x Áustria,2,0
Tel,Jordânia x Argélia,1,1
Tel,Argélia x Áustria,0,1
Tel,Jordânia x Argentina,0,3
Tel,Portugal x Congo RD,3,0
Tel,Uzbequistão x Colômbia,0,1
Tel,Colômbia x Portugal,1,2
Tel,Congo RD x Uzbequistão,1,1
Tel,Congo RD x Colômbia,0,2
Tel,Uzbequistão x Portugal,0,2
Tel,Inglaterra x Croácia,3,0
Tel,Gana x Panamá,1,0
Tel,Inglaterra x Gana,2,0
Tel,Panamá x Croácia,0,2
Tel,Croácia x Gana,2,1
Tel,Panamá x Inglaterra,0,3

Matheus,República Tcheca x África do Sul,1,0
Matheus,México x Coreia do Sul,2,2
Matheus,República Tcheca x México,1,2
Matheus,África do Sul x Coreia do Sul,0,2
Matheus,Suíça x Bósnia e Herzegovina,1,1
Matheus,Canadá x Catar,2,0
Matheus,Suíça x Canadá,2,1
Matheus,Bósnia e Herzegovina x Catar,2,0
Matheus,Escócia x Marrocos,1,3
Matheus,Brasil x Haiti,4,0
Matheus,Escócia x Brasil,0,2
Matheus,Marrocos x Haiti,3,0
Matheus,Turquia x Paraguai,1,1
Matheus,Estados Unidos x Austrália,2,1
Matheus,Turquia x Estados Unidos,0,2
Matheus,Paraguai x Austrália,1,1
Matheus,Alemanha x Costa do Marfim,1,1
Matheus,Equador x Curaçao,2,0
Matheus,Equador x Alemanha,0,2
Matheus,Curaçao x Costa do Marfim,0,3
Matheus,Tunísia x Japão,0,3
Matheus,Holanda x Suécia,1,0
Matheus,Japão x Suécia,1,1
Matheus,Tunísia x Holanda,0,2
Matheus,Bélgica x Irã,2,0
Matheus,Nova Zelândia x Egito,0,1
Matheus,Egito x Irã,1,0
Matheus,Nova Zelândia x Bélgica,0,2
Matheus,Espanha x Arábia Saudita,2,0
Matheus,Uruguai x Cabo Verde,1,0
Matheus,Cabo Verde x Arábia Saudita,1,1
Matheus,Uruguai x Espanha,1,2
Matheus,França x Senegal,3,0
Matheus,Iraque x Noruega,0,2
Matheus,França x Iraque,3,0
Matheus,Noruega x Senegal,1,0
Matheus,Noruega x França,2,2
Matheus,Senegal x Iraque,1,0
Matheus,Áustria x Jordânia,2,1
Matheus,Argentina x Argélia,2,1
Matheus,Argentina x Áustria,3,1
Matheus,Jordânia x Argélia,0,2
Matheus,Argélia x Áustria,1,0
Matheus,Jordânia x Argentina,0,3
Matheus,Portugal x Congo RD,2,0
Matheus,Uzbequistão x Colômbia,1,3
Matheus,Colômbia x Portugal,1,2
Matheus,Congo RD x Uzbequistão,1,0
Matheus,Congo RD x Colômbia,0,2
Matheus,Uzbequistão x Portugal,0,3
Matheus,Inglaterra x Croácia,2,1
Matheus,Gana x Panamá,2,0
Matheus,Inglaterra x Gana,2,1
Matheus,Panamá x Croácia,0,1
Matheus,Croácia x Gana,1,1
Matheus,Panamá x Inglaterra,0,4
